layer	latent	clinical_exp	model
20	12330	"""The token \""1\"" is consistently activated when it appears in a pattern resembling a sliding scale or dosage range, often in the context of insulin administration or blood glucose levels."""	9B
20	12332	"""Conjunctions, particularly \""and\"", often used to connect clauses or phrases, tend to have higher activation levels when they are part of a phrase or sentence that is setting up a diagnosis, treatment, or a connection between two medical concepts."""	9B
20	12333	"""Specialized or abbreviated medical terminology, often denoted by a single letter or symbol, or specific formatting such as parentheses or asterisks."""	9B
20	12334	"""The token \""i\"" is consistently activated across various snippets, suggesting that it represents a specific concept or pattern. Upon closer inspection, it appears that \""i\"" is often used as a Roman numeral, typically denoting a list item or a sequence number. The consistent activation levels across different snippets support this interpretation, indicating that the model is recognizing the token \""i\"" as a representative of a sequential or enumerative pattern."""	9B
20	12335	"""Medical conditions or health-related terms."""	9B
20	12337	"""The model is activated by phrases that express a hypothetical or suggested course of action, often introduced by the phrase \""would be\"" or \""would\"" followed by a verb, indicating a recommendation or a potential outcome."""	9B
20	12339	"""The presence of filler characters or placeholders, often used to indicate redacted or missing information, particularly in medical records or technical reports."""	9B
20	12340	"""Presence of a specific symbol (\""+\"", \""-\"", \"".\"") used to denote a medical condition or risk factor, often in a list format."""	9B
20	12341	"""Cognitive functions or mental states, particularly those related to attention, awareness, and mental processing."""	9B
20	12342	"""The model is activated by mentions of the patient or specific medical conditions, treatments, or locations within a medical context."""	9B
20	12343	"""Medical history, particularly smoking history, and medical procedures or equipment."""	9B
20	12344	"""Activities or sports, often involving physical exertion or adventure."""	9B
20	12350	"""The term \""access\"" in the context of medical treatment or procedures, often referring to access to medical devices, records, or physical access for treatment."""	9B
20	12351	"""The token \""only\"" is consistently activated when it is used to indicate a limitation or a sole condition, often in contrast to other possibilities or expectations."""	9B
20	12352	"""The term \""magnetic resonance\"" in the context of medical imaging."""	9B
20	12353	"""The model is activated by medical abbreviations, dosages, and medical terminology, particularly when they appear in a format typical of medical prescriptions or procedures."""	9B
20	12356	"""Prepositions, particularly \""of\"", and words that immediately follow or precede them, often in the context of instructions or procedural descriptions."""	9B
20	12358	"""The model is activated by tokens that are part of medical terminology, particularly those related to diagnoses, conditions, or medical concepts, often in the context of patient history or medical procedures."""	9B
20	12360	"""The token \""suggesting\"" is consistently activated across all snippets, indicating that the model is recognizing phrases that imply a suggestion or indication of a particular condition or diagnosis, often in the context of medical test results or observations."""	9B
20	12361	"""Medical conditions, diseases, or health-related terms, particularly those that are specific diagnoses or pathologies."""	9B
20	12362	"""The token \""mark\"" is consistently activated when it appears in the phrase \""unremarkable\""."""	9B
20	12364	"""Occupations related to accounting or bookkeeping."""	9B
20	12365	"""The model is activated by tokens that are part of phrases indicating the specification or clarification of information, often in a medical context, such as describing a procedure, a diagnosis, or a treatment plan."""	9B
20	12366	"""Periods (.) and numbers (e.g. \""2\"") often indicate the start of a list item or a specific entry, and the words immediately following these characters tend to have higher activation levels, suggesting that the model is recognizing and emphasizing these items or entries."""	9B
20	12367	"""Medical imaging findings, particularly those related to the presence or absence of fluid in the body."""	9B
20	12368	"""Relatives or individuals with a specific relationship to the patient, often introduced by a linking verb or pronoun."""	9B
20	12371	"""Periods (.) used as abbreviations or in medical notation."""	9B
20	12373	"""The model is activated by the presence of \""ALT\"" (alanine transaminase), a liver enzyme, in laboratory results, regardless of its value or surrounding context, with occasional minor activations for unrelated tokens."""	9B
20	12376	"""The model is activated by partial or complete matches of medication names, medical supplies, or anatomical terms."""	9B
20	12377	"""Formal salutations and expressions of gratitude in discharge instructions."""	9B
20	12378	"""Medical interventions, emergency services, or medical equipment."""	9B
20	12379	"""Actions or instructions to be taken by the patient, often related to follow-up appointments or medical procedures."""	9B
20	12382	"""The \""<<\"" and \"">>\"" delimiters are not relevant to the activation patterns, which consistently show high activation levels for the \"">\"" token, indicating that the pattern is related to the presence of the \"">\"" symbol, often used to denote \""greater than\"" or an arrow, in medical contexts such as comparisons, measurements, or directions."""	9B
20	12386	"""Medical administration instructions, particularly volumes and solutions."""	9B
20	12387	"""Quoted speech or direct quotes within the text."""	9B
20	12388	"""Medical terms, particularly those related to diagnoses, lab findings, medications, and medical procedures."""	9B
20	12389	"""The activation patterns are associated with phrases that indicate the source or agent responsible for a particular action or recommendation, often in a medical context, typically introduced by prepositions such as \""by\"" or phrases that indicate the presence or status of something, such as \""complaints\"" or \""patent\""."""	9B
20	12393	"""The digit 7, often used as a numerical value in medical measurements or dosages."""	9B
20	12394	"""Vital signs, including temperature, pulse, and blood pressure."""	9B
20	12395	"""Direct address to the patient or a specific entity, typically denoted by the pronouns \""you\"" or \""it\""."""	9B
20	12400	"""Time durations or intervals."""	9B
20	12401	"""Medical findings, diagnoses, and observations, often with a focus on abnormalities or notable conditions."""	9B
20	12402	"""Medical findings, diagnoses, or test results, often with a focus on abnormalities or specific conditions."""	9B
20	12405	"""The term \""exertional\"" is consistently activated, indicating that the model is recognizing the concept of exertion or physical activity, particularly in the context of symptoms or medical conditions."""	9B
20	12407	"""Parentheses or the contents within parentheses, particularly those related to medication instructions or medical equipment."""	9B
20	12408	"""Symbols and abbreviations commonly used in medical notation, particularly those indicating units, frequencies, or laboratory values."""	9B
20	12410	"""Medical record section headings."""	9B
20	12411	"""The presence of the term \""Social\"" or \""SOCIAL\"" often in conjunction with \""History\"" or \""HISTORY\"", typically indicating the start of a section describing a patient's social background or history."""	9B
20	12412	"""Medical or military history-related terms, particularly those indicating a specific condition, diagnosis, or veteran status."""	9B
20	12415	"""Numerical values and units, particularly those related to medical measurements and vitals."""	9B
20	12416	"""Medical terms, particularly those related to conditions, procedures, or medications, especially when they have distinctive suffixes or word endings."""	9B
20	12418	"""The activation patterns are associated with follow-up instructions, plans, and evaluations, often including specific details such as dates, times, and healthcare providers."""	9B
20	12420	"""Periods (.) that terminate sentences or abbreviations, often indicating the end of a medical finding, diagnosis, or procedure."""	9B
20	12422	"""The activation patterns are associated with section headers or titles in medical records, often denoted by a colon or other special characters, and sometimes enclosed in double angle brackets or parentheses."""	9B
20	12423	"""Enzyme names and related lab values."""	9B
20	12424	"""Numerical values, particularly those representing measurements or test results."""	9B
20	12426	"""The phrase \""as well as\""."""	9B
20	12429	"""Numerical values or units of measurement, often in the context of medical data or time intervals."""	9B
20	12431	"""Actions or processes that are currently taking place or being planned, often indicated by verbs such as \""being\"", \""undergoing\"", or \""working on\""."""	9B
20	12432	"""The model is activated by pronouns, particularly those referring to the patient or the subject of the sentence, often indicating a shift in focus or a reference to the individual being discussed."""	9B
20	12434	"""The term \""navigate\"" or its variants, often referring to movement or guidance through a physical or procedural space."""	9B
20	12435	"""Medication instructions, dosages, and administration times."""	9B
20	12437	"""Numerical values, particularly those related to medical measurements or ratios."""	9B
20	12439	"""Conjunctions and items in lists, particularly those related to medications or post-operative instructions."""	9B
20	12440	"""The term \""unremarkable\"" in medical imaging reports."""	9B
20	12441	"""The model is activated by tokens that are part of a medical diagnosis, condition, or finding, often in the context of a patient's medical history or current health status."""	9B
20	12444	"""The term \""pending\"" is consistently activated across all snippets, indicating that the model is recognizing the concept of a status or result that has not yet been determined or finalized."""	9B
20	12445	"""Actions or events initiated or taken, often related to medical treatment or patient history."""	9B
20	12449	"""The model is activated by phrases that express limitation or restriction, often using the word \""only\"" or similar phrases like \""merely\"", to convey a sense of exclusivity or singularity."""	9B
20	12451	"""Medication forms or preparations, specifically powders."""	9B
20	12453	"""The model is activated by tokens that are part of a medical or anatomical term, particularly when they are part of a specific diagnosis, body part, or medical instruction."""	9B
20	12454	"""Medical procedures, discussions, or evaluations, often involving direct interactions or assessments."""	9B
20	12455	"""Time-related numerical values, particularly those related to time stamps, and numerical values that appear to be medical test results or measurements."""	9B
20	12457	"""The model is activated by phrases that express permission or freedom to take a certain action, often in the context of patient instructions or guidance."""	9B
20	12461	"""Cardiac-related measurements and indices, particularly those involving cardiac output, index, and units of measurement such as ml, L, min, and m2."""	9B
20	12463	"""Presence of air in medical imaging or bodily cavities."""	9B
20	12466	"""Medical terms, particularly those related to diagnoses, lab tests, or body parts, especially when they are nouns."""	9B
20	12470	"""Prepositions and conjunctions, especially those used in medical instructions or procedures, often in conjunction with actions or conditions."""	9B
20	12472	"""Medical measurements, test results, and medical terminology, particularly those related to cardiovascular and respiratory systems."""	9B
20	12473	"""Parentheses and surrounding tokens often indicate medical test results, medication instructions, or units of measurement."""	9B
20	12474	"""The digit \""0\"" is activated when it appears as part of a decade reference, typically in the context of a patient's age, medical history, or timeline of events."""	9B
20	12475	"""The model is activated by partial words or word fragments, particularly when they are part of a medical term or concept, often in the context of a diagnosis, symptom, or medical procedure."""	9B
20	12477	"""Medical examination findings and observations, particularly those that are normal or unremarkable."""	9B
20	12478	"""Tokens \""post\"" and \""p\"" in the context of medical history or procedures, often following \""status post\"" or \""s/p\""."""	9B
20	12479	"""Medication names, dosages, and instructions."""	9B
20	12482	"""Parenthetical expressions, particularly those containing the word \""Vitamin\""."""	9B
20	12484	"""Tokens related to medical follow-up, appointments, or patient care instructions."""	9B
20	12485	"""The term \""unremarkable\"" in radiology reports."""	9B
20	12486	"""Units of measurement, dosages, or pharmaceutical formulations."""	9B
20	12489	"""The model is activated by tokens that are part of medical service names, patient history, or medical procedures, particularly when they are part of a larger phrase or word that is relevant to the medical context."""	9B
20	12490	"""Medical instructions, treatment, or patient status updates, often including medication, activity level, or level of consciousness."""	9B
20	12491	"""Time and numerical values, particularly those with decimal points or units, and occasionally the surrounding context."""	9B
20	12493	"""Medical terms or phrases, particularly those related to diagnoses, symptoms, or medical procedures."""	9B
20	12496	"""The model is activated by the presence of medication names, medical abbreviations, or specific numerical values, particularly when they appear at the end of a word or are part of a medical term."""	9B
20	12497	"""The term \""Group\"" often refers to blood type or bacterial classification, particularly Group B streptococcus, in medical contexts."""	9B
20	12500	"""The presence of the prefix \""bio\"" in medical contexts, particularly in relation to prosthetic devices."""	9B
20	12501	"""Prepositions, particularly \""of\"" and \""for\"", often used in medical impressions or diagnoses to indicate the absence or presence of a condition."""	9B
20	12502	"""Actions or instructions to be taken by medical staff or patients, often related to treatment, medication, or further evaluation."""	9B
20	12503	"""Marital status and family information."""	9B
20	12504	"""The model is activated by tokens that are part of medical records, particularly those that contain numerical values, medical abbreviations, or specific medical terms, often in the context of patient history, medication, or test results."""	9B
20	12505	"""Medical instructions, warnings, or advice, particularly those related to treatment, medication, or post-procedure care."""	9B
20	12506	"""Surgical procedures or actions."""	9B
20	12507	"""The phrase \""felt that\"" is a key pattern, often indicating a medical opinion or assessment, and is frequently associated with high activation levels."""	9B
20	12508	"""The token \""off\"" is activated when it indicates discontinuation or cessation of a treatment, medication, or medical intervention."""	9B
20	12512	"""The phrase \""Increase your\"" or \""increase his\"" when referring to a medical instruction or treatment adjustment."""	9B
20	12513	"""Indication of a potential problem or issue that warrants attention or further investigation."""	9B
20	12514	"""Emotions of anger or frustration, often expressed in relation to a specific stimulus or situation."""	9B
20	12516	"""The token \""now\"" is consistently activated across all snippets, often in conjunction with other tokens that indicate a change or update in a patient's condition, suggesting that the model is recognizing temporal or transitional language in medical narratives."""	9B
20	12518	"""First-person plural pronouns or verb conjugations, often indicating actions or decisions made by medical staff."""	9B
20	12519	"""Medication dosages, particularly those containing acetaminophen and caffeine, with a focus on the strength or quantity of the medication."""	9B
20	12520	"""Tokens within medical doctor signatures or department names."""	9B
20	12521	"""Punctuation and formatting characters, particularly colons, as well as words immediately surrounding them, often in the context of medical records or reports."""	9B
20	12522	"""Medical findings, diagnoses, and procedures, particularly those related to the cardiovascular and musculoskeletal systems."""	9B
20	12524	"""Units or values associated with medical test results or measurements."""	9B
20	12527	"""Medical instructions or actions taken as needed, often in relation to medication or treatment."""	9B
20	12528	"""The model is activated by tokens related to follow-up instructions or presentation of patient information, particularly when the word \""Please\"" or \""PRESENTATION\"" is present, indicating a pattern of importance around patient communication and medical history."""	9B
20	12533	"""Spatial location, either \""inside\"" or \""outside\"", typically referring to physical spaces or anatomical locations."""	9B
20	12534	"""Medications or medical treatments."""	9B
20	12536	"""The model is activated by the presence of medical history or specific medical conditions, particularly when denoted by the term \""HISTORY\"" or specific disease names like \""Anemia\""."""	9B
20	12537	"""Healthcare facilities or locations where patients are sent after discharge."""	9B
20	12538	"""Medical abbreviations, particularly those starting with \""E\"", and echocardiogram-related terms."""	9B
20	12540	"""The token \""experience\"" is activated when it is used to describe a patient's symptoms, medical history, or reaction to treatment, often in the context of warning signs or adverse effects."""	9B
20	12541	"""Trauma-related diagnoses or injuries."""	9B
20	12545	"""The model is activated by mentions of family medical history."""	9B
20	12546	"""The model is activated by tokens indicating patient responses or statements, particularly those involving negation or refusal, often in the context of medical history or symptom assessment."""	9B
20	12548	"""The number \""2\"" followed by a period, often indicating a list item or a diagnosis number."""	9B
20	12552	"""The model is activated by phrases indicating resolution or improvement of a medical condition, often marked by the words \""resolved\"", \""stopped\"", or \""subsided\"", and sometimes including the word \""rhythm\"" in the context of returning to a normal heart rhythm."""	9B
20	12556	"""Prepositions, particularly \""to\"" and \""for\"", often indicating a relationship or direction, tend to have higher activation levels when they are part of a phrase or sentence that is providing context or explanation for a medical condition, treatment, or procedure."""	9B
20	12557	"""Medical terms, dosages, or units of measurement, particularly those related to medication administration or medical conditions."""	9B
20	12559	"""Time, units, measurements, and medical test results or values."""	9B
20	12563	"""Left parentheses within medical test names or values, often indicating a unit or abbreviation."""	9B
20	12564	"""The model is activated by phrases that indicate information is being referenced or described within a specific document or section, often related to discharge instructions or summaries."""	9B
20	12565	"""The activation levels are higher for tokens that are part of a sequence of text that describes a medical action, decision, or finding, particularly when the sequence is enclosed in delimiters, indicating that the model is more strongly activated by tokens that are part of a coherent medical narrative."""	9B
20	12566	"""Medical treatments, interventions, or habits, particularly those involving radiation, smoking, or feeding."""	9B
20	12567	"""Uncertainty or inquiry about a patient's condition, symptoms, or events, often expressed through words or phrases indicating questioning, uncertainty, or a need for explanation."""	9B
20	12568	"""Telephone numbers or numerical values."""	9B
20	12569	"""Medical terms, diagnoses, procedures, and symptoms, particularly those related to cardiovascular and gastrointestinal health."""	9B
20	12570	"""The \""*\"" symbol is used to indicate the start of a section containing important post-discharge instructions or information for the patient."""	9B
20	12571	"""Medical tests, diagnoses, treatments, and medical terminology."""	9B
20	12574	"""The activation patterns are associated with the concept of \""discharge\"" from a medical facility, including the process of leaving the hospital, the documentation of discharge, and related administrative tasks."""	9B
20	12575	"""Tokens indicating a final diagnosis or report, or describing an irregular heartbeat or rhythm."""	9B
20	12576	"""The term \""profile\"" in various medical contexts, often referring to a specific set of characteristics, measurements, or assessments, such as a patient's lipid profile, fetal biophysical profile, or a 3-D annuloplasty profile."""	9B
20	12578	"""Prepositions, particularly those indicating location or relation, often in conjunction with the definite article \""the\""."""	9B
20	12582	"""The model is activated by phrases indicating necessity, importance, or requirement, often in the context of medical instructions or follow-up care."""	9B
20	12583	"""The token \""mark\"" is consistently activated when it is part of the word \""unremarkable\"", indicating that the model is identifying instances where medical test results or patient conditions are normal or show no significant abnormalities."""	9B
20	12584	"""The term \""original\"" is consistently activated when it refers to the first or initial instance of something, such as a medical test, event, or condition, often used to provide context or comparison."""	9B
20	12585	"""The model is activated by the presence of a period (.) or an empty string (\"" \"") within the delimiters, often indicating the end of a sentence or a dosage instruction in a medical context."""	9B
20	12587	"""Decimal points in medication dosages or INR values."""	9B
20	12589	"""The model is activated by phrases that describe a patient's condition or response to treatment, often including the patient's status or a change in their condition."""	9B
20	12593	"""The token \""with\"" is consistently activated when it is used to indicate accompaniment or association, often in a medical context, such as a procedure being performed with a particular device or a patient being treated with a specific medication."""	9B
20	12597	"""Medical terminology, medication names, and medical abbreviations, particularly those related to prescriptions, diagnoses, and medical tests."""	9B
20	12600	"""Medication dosages or medical abbreviations."""	9B
20	12601	"""Exercise-related instructions or recommendations, particularly those involving walking or post-operative activity limitations."""	9B
20	12605	"""The model is activated by tokens that are part of medical abbreviations, dosage instructions, or specific medical terms, often in a context that implies a medical treatment or diagnosis."""	9B
20	12606	"""The definite article \""the\"" and the demonstrative adjectives \""this\"" and \""an\"" when used to introduce a specific time or location."""	9B
20	12608	"""Medical terms or words related to medical conditions, tests, or concepts."""	9B
20	12610	"""The model is activated by tokens that are part of a sentence or phrase that is being directly addressed to the patient or provides specific medical information or instruction to the patient."""	9B
20	12611	"""Mental health-related concepts, particularly suicidal ideation, and also pending or evaluation status of medical tests or treatments."""	9B
20	12613	"""Medication instructions, specifically the term \""Release\"" and its surrounding context, often including dosage and administration details."""	9B
20	12614	"""Time-related information, anatomical locations, and medical test results."""	9B
20	12615	"""Family members or caregivers, often in a domestic or support context."""	9B
20	12620	"""The model is activated by tokens that are part of medical concepts, procedures, or patient information, particularly when they are nouns or noun phrases that provide specific details about a patient's condition or treatment."""	9B
20	12621	"""Tokens that are part of a phrase or sentence that provide a quantitative or explanatory link between medical findings or test results."""	9B
20	12622	"""The term \""team\"" consistently activates at a high level, indicating that the pattern of interest is the mention of a medical team or collaborative decision-making in a healthcare setting."""	9B
20	12623	"""Patient or family refusal, request, or decision regarding medical treatment or procedure."""	9B
20	12624	"""Abbreviations or shortened forms of words, often used in medical prescriptions or instructions."""	9B
20	12625	"""Physical measurement terms, particularly those related to body length."""	9B
20	12631	"""Medical terms or phrases, particularly those related to diagnoses, procedures, or body parts, tend to have higher activation levels, while non-medical terms or phrases have lower activation levels."""	9B
20	12632	"""Possessive pronouns referring to a patient, typically indicating a connection to the patient's medical information or condition."""	9B
20	12637	"""Medical imaging findings, particularly those related to organ size, visibility, and abnormalities."""	9B
20	12638	"""Medical abbreviations and symbols."""	9B
20	12639	"""Medical terms or phrases, particularly those related to anatomy, medical procedures, or diagnoses."""	9B
20	12642	"""The model is activated by tokens that indicate a transition or a connection between events, ideas, or clauses, often denoting a shift in the narrative or a causal relationship, such as temporal or logical connections."""	9B
20	12643	"""Patient or provider communication, understanding, or compliance, often involving direct quotes or responses."""	9B
20	12644	"""Medical instructions, medication names, or dosages."""	9B
20	12645	"""The term \""overall\"" is consistently activated across all snippets, indicating that it is a key term in the pattern. However, the activation levels for other terms vary, suggesting that they are not as central to the pattern. The term \""overall\"" is often used to describe a patient's condition or the results of a medical test, and its consistent activation suggests that the pattern is related to general assessments or summaries of a patient's health."""	9B
20	12646	"""Colon or parentheses usage in medical notation, particularly in medication instructions or lab results."""	9B
20	12647	"""The model is activated by suffixes of words, particularly those that indicate a state or condition, often with a negative connotation."""	9B
20	12649	"""Tokens that are part of medical terminology, measurements, or specific medical concepts, particularly when they are part of a sequence or phrase that provides context to the medical information."""	9B
20	12650	"""The presence of the word \""active\"" in a medical context, often indicating a current or ongoing condition, issue, or behavior."""	9B
20	12651	"""Numerical values or references to specific instances, examples, or quantities within the text."""	9B
20	12653	"""\""Total\"" in the context of lab results or measurements."""	9B
20	12654	"""Occupations related to teaching."""	9B
20	12656	"""Proper nouns, particularly names of facilities, locations, and brands."""	9B
20	12658	"""Medical findings, symptoms, or conditions, often in a clinical or diagnostic context."""	9B
20	12659	"""Patient's level of autonomy or responsiveness, including obedience to commands and dependency on others or medical support."""	9B
20	12662	"""Medical conditions, diagnoses, and patient information, particularly when explicitly stated or listed in a medical history or examination context."""	9B
20	12663	"""Medical professionals, services, or family/social relationships involved in patient care."""	9B
20	12664	"""The comma token is highly activated when it is used in the phrase \""however,\""."""	9B
20	12666	"""Numerical values, especially those that appear to be quantities or measurements."""	9B
20	12667	"""Vital signs and laboratory values."""	9B
20	12668	"""The term \""unremarkable\"" in medical reports, indicating normal or uneventful findings."""	9B
20	12670	"""Medical terms or conditions, often related to diagnoses, treatments, or body parts."""	9B
20	12671	"""Specific time periods, days of the week, or body parts."""	9B
20	12672	"""The phrase \""number of\"" in the context of describing aortic valve leaflets."""	9B
20	12673	"""The model is activated by tokens that are part of a direct address or a polite expression, often used in formal or professional communication, particularly in medical discharge instructions."""	9B
20	12674	"""The model is activated by mentions of substance use, including specific types of drugs, alcohol, and tobacco, as well as general references to drug use."""	9B
20	12675	"""The model is activated by tokens that refer to entities directly involved in medical decision-making or treatment, particularly family members, patients, or specific medical facilities and procedures."""	9B
20	12679	"""Prepositions, particularly \""of\"" and \""in\"", and occasionally \""at\"", that are part of a phrase describing a location or relationship, often in a medical context."""	9B
20	12681	"""Medical imaging findings, diagnostic procedures, and laboratory results."""	9B
20	12684	"""Medical conditions, diagnoses, and procedures."""	9B
20	12685	"""Phrases indicating past medical history or treatment."""	9B
20	12686	"""The token \""current\"" is consistently activated when it refers to the present time or current status of a patient's condition, treatment, or situation."""	9B
20	12688	"""Medical test results, units of measurement, and numerical values, often in the context of laboratory findings or medical records."""	9B
20	12691	"""Medical record sections, particularly service, allergies, and medical history information."""	9B
20	12692	"""The model is activated by tokens that are part of a medical abbreviation or a unit of measurement, particularly those related to blood or laboratory tests."""	9B
20	12694	"""Pathological or abnormal findings, particularly those related to disease, injury, or other medical conditions."""	9B
20	12695	"""Numerical values or quantities, often in the context of medication dosages or frequencies."""	9B
20	12697	"""Medication names or components."""	9B
20	12698	"""Colon and colon-like punctuation marks, often used in medical notation and formatting."""	9B
20	12699	"""Tokens that are part of a phrase or sentence indicating a condition, instruction, or specification, often involving a relationship or comparison, tend to have higher activation levels."""	9B
20	12702	"""Facial expressions, particularly smiling, in the context of neurological examinations."""	9B
20	12704	"""The term \""axis\"" in the context of electrocardiogram (ECG) results, referring to the orientation of the heart's electrical activity."""	9B
20	12706	"""Medical terms with the \""unre\"" prefix."""	9B
20	12709	"""Medical interventions, treatments, or changes in patient care, often involving medications or procedures."""	9B
20	12711	"""Days of the week, particularly those associated with reduced activity or special scheduling, such as weekends or holidays."""	9B
20	12712	"""Commas separating clauses or phrases, often preceding a change in topic or a new piece of information."""	9B
20	12713	"""Medical terms or phrases denoting specific treatments, diagnoses, laboratory tests, or patient information."""	9B
20	12718	"""Medication names."""	9B
20	12720	"""The model is activated by phrases related to being \""welcome\"" or the context of hospital \""admission\""."""	9B
20	12721	"""The token \""second\"" is consistently activated when it refers to a subsequent event, episode, or occurrence, often in a medical context, indicating a pattern of identifying sequential or repeated instances."""	9B
20	12722	"""The model is activated by phrases indicating the cause, etiology, or attribution of a medical condition or event."""	9B
20	12723	"""Requests for additional information or references to external sources for more details."""	9B
20	12726	"""Colon or hash symbol followed by a space or punctuation, often indicating a label or title, particularly in medical records or reports."""	9B
20	12728	"""Important tokens are activated when they are part of a phrase or sentence that conveys a crucial piece of information, such as a diagnosis, prognosis, instruction, or significant event, often related to medical treatment or patient care."""	9B
20	12729	"""Closing parenthesis in medication dosage instructions."""	9B
20	12730	"""Medical settings, procedures, or instructions, often involving hospital locations or actions."""	9B
20	12732	"""The model is activated by tokens that describe a patient's symptoms, feelings, or conditions, often indicating a deviation from normal or healthy states."""	9B
20	12733	"""Medical interventions, procedures, or outcomes, often indicating a change in the patient's condition or care."""	9B
20	12737	"""The word \""thing\"" or \""things\"" when used in a context that is idiomatic or colloquial, often to convey a general or vague concept."""	9B
20	12742	"""The model is activated by phrases indicating a lack of success, failure, or inability to achieve a desired outcome, often marked by words like \""resistant\"", \""refused\"", \""failed\"", \""unable\"", \""not\"", or \""but\""."""	9B
20	12748	"""The model is activated by incomplete or partial words, often with missing or truncated prefixes or suffixes, particularly when they appear in a medical context."""	9B
20	12750	"""The presence of the word \""design\"" or its variants, often indicating a profession, activity, or intention, particularly in the context of creating or planning something."""	9B
20	12752	"""Polite or imperative phrases often used in medical instructions or advice."""	9B
20	12753	"""The phrase \""in compliance with\"" is a key indicator of high activation levels, suggesting that the model is sensitive to regulatory or procedural compliance language."""	9B
20	12754	"""Tokens that are part of a phrase or word that is not directly related to the primary medical condition or diagnosis, but rather to the context or narrative of the medical report."""	9B
20	12756	"""Medical concepts related to bodily systems, drainage, or automated processes."""	9B
20	12758	"""Medical terms or phrases, particularly those related to diagnoses, treatments, or medical specialties, tend to have higher activation levels, while common words or phrases have lower activation levels."""	9B
20	12759	"""The token \""post\"" is consistently activated across all snippets, often in conjunction with other tokens, indicating that the pattern is related to the concept of \""post-\"" as a prefix, typically indicating a time period or status after a specific event or procedure."""	9B
20	12760	"""Hemodynamic parameters or measurements, particularly those related to blood pressure or cardiac function."""	9B
20	12764	"""Limitations or uncertainties in medical imaging or diagnostic evaluations."""	9B
20	12767	"""Transitions or changes in a patient's treatment, care, or condition."""	9B
20	12768	"""Tokens that are part of medical terminology or abbreviations, often indicating a specific condition, procedure, or instruction."""	9B
20	12769	"""Descriptions of medical interventions or physical examination findings characterized by a gentle or soft quality."""	9B
20	12770	"""Medical terms or phrases, particularly those related to medical conditions, treatments, or physiological phenomena, especially when they are in Spanish or partially in Spanish."""	9B
20	12772	"""The word \""might\"" is consistently activated, indicating that the model is recognizing and responding to this specific token, which is often used to express possibility or uncertainty."""	9B
20	12773	"""Abbreviations or partial words related to medical or scientific terminology."""	9B
20	12774	"""Ordinal suffixes, specifically \""th\"" and \""st\"", indicating dates."""	9B
20	12775	"""Abbreviations or symbols for medical terms, diagnoses, or lab values."""	9B
20	12776	"""Medical terms or concepts, particularly those related to diagnoses, treatments, or patient conditions."""	9B
20	12777	"""The model is activated by tokens that are part of medical abbreviations, medical terminology, or phrases that introduce medical information, particularly in radiology and laboratory results."""	9B
20	12782	"""Colon-prefaced section headings or titles, often in medical or clinical contexts."""	9B
20	12783	"""Specific anatomical features or quantities, particularly those related to the aortic valve or other medical conditions."""	9B
20	12784	"""Terms related to heart or cardiovascular system anatomy, conditions, or medical specialties."""	9B
20	12785	"""Medication dosing instructions, particularly those specifying frequency or timing, often denoted by \""Q\"" or \""q\"" followed by a time interval."""	9B
20	12787	"""Patient independence in activities of daily living or decision-making."""	9B
20	12793	"""Discontinuation or removal of medical interventions or treatments."""	9B
20	12795	"""The phrase \""difficult to\"" is a key pattern, often indicating challenges or uncertainties in diagnosis, treatment, or assessment."""	9B
20	12796	"""Negative outcomes, complications, or potential health risks."""	9B
20	12798	"""Medical terms, body parts, or treatment-related words, often in a context of diagnosis, treatment, or medical history."""	9B
20	12800	"""Medical diagnoses, procedures, and patient information, particularly when explicitly labeled or formatted as such."""	9B
20	12801	"""Verb phrases, especially passive voice or linking verbs, in medical descriptions."""	9B
20	12802	"""Assessments of language function or ability."""	9B
20	12805	"""Medical procedures, interventions, or significant events."""	9B
20	12806	"""The model is activated by tokens that are part of medical terms or phrases, particularly those that are part of anatomical locations or medical conditions, often in the context of radiology or physical examination findings."""	9B
20	12807	"""Abbreviations for frequency of medication administration."""	9B
20	12808	"""Units of measurement in medical prescriptions or patient status descriptions."""	9B
20	12809	"""The token \""using\"" is activated when it is part of a phrase describing a method or tool used to perform a specific action or procedure."""	9B
20	12814	"""The word \""common\"" is consistently activated across various medical contexts, suggesting that the model is recognizing the word itself as a key term, rather than its semantic meaning in specific medical conditions."""	9B
20	12815	"""The term \""Center\"" is consistently activated across various contexts, suggesting that it is a significant keyword, likely referring to a medical or healthcare center, and its activation level is high when it appears as a standalone term or as part of a specific location or facility name."""	9B
20	12816	"""The model is activated by phrases indicating a need for additional information, assessment, or action, often signified by words like \""further\"", \""more\"", or \""additional\""."""	9B
20	12817	"""Symptoms or signs of medical conditions, particularly those related to cardiovascular or circulatory issues, dehydration, or other physical distress."""	9B
20	12819	"""Changes or trends in medical measurements or conditions, often indicated by verbs or nouns describing shifts in values or states."""	9B
20	12820	"""Topical or oral preparations, particularly those with a specific form or application method."""	9B
20	12822	"""Medical treatment, interventions, or patient conditions, particularly those related to patient care or management."""	9B
20	12823	"""The name \""St.\"" as part of a hospital or medical facility name."""	9B
20	12825	"""Medical diagnoses or conditions related to a patient's native or original state."""	9B
20	12826	"""The presence of the token \""school\"" in a medical context, often related to age or environment."""	9B
20	12830	"""Specific medical diagnoses, procedures, or significant medical findings."""	9B
